%time,field.v,field.h,field.vl,field.actual_v,field.u,field.rpm,field.pwm
1423689522291389661,1.03307719026,3.55184,1.19864908654,1.88264,4.44903169107,202.0,1410
1423689522407571328,1.07206833914,3.58556,1.40285279219,1.78944,4.44901322043,192.0,1412
1423689522528500328,1.11105690477,3.61928,1.59053440429,1.78944,4.4489955111,192.0,1413
1423689522644898994,1.15004288732,3.64176,1.61634093108,1.78944,4.44897856292,192.0,1415
1423689522767419328,1.18902628696,3.68672,1.64918259355,1.65896,4.44896237573,178.0,1416
1423689522886236994,1.22800710386,3.74292,1.80890801628,1.65896,4.4489469494,178.0,1417
1423689523003235994,1.26698533819,3.79912,1.94781878241,1.65896,4.44893228377,178.0,1418
1423689523119544994,1.30596099012,3.86656,2.06130468094,1.41664,4.44891837868,152.0,1418
1423689523238587994,1.34493405983,3.934,2.11348488453,1.41664,4.44890523399,152.0,1419
1423689523363431661,1.38390454749,4.00144,2.12348984651,1.41664,4.44889284954,152.0,1419
1423689523480618994,1.42287245326,4.06888,2.07318519737,1.41664,4.44888122519,152.0,1419
1423689523597921994,1.46183777733,4.20376,2.01906849141,1.17432,4.44887036079,126.0,1418
1423689523716411994,1.50080051986,4.2712,2.16830488869,1.17432,4.44886025617,126.0,1417
1423689523832929661,1.53976068102,4.33864,2.30256109764,1.17432,4.4488509112,126.0,1417
1423689523949925661,1.57871826099,4.40608,2.35794372198,1.17432,4.44884232572,126.0,1416
1423689524073329994,1.61767325993,4.47352,2.41058811205,0.0,4.44883449958,0.0,1413
1423689524188677994,1.65662567802,4.54096,2.45041676708,0.91336,4.44882743262,98.0,1411
1423689524306179328,1.69557551543,4.59716,2.39984491139,0.91336,4.44882112471,98.0,1409
1423689524424910661,1.73452277233,4.64212,2.27134238457,0.91336,4.44881557568,98.0,1407
1423689524541704994,1.7734674489,4.6646,2.05956637881,0.91336,4.44881078539,98.0,1405
1423689524658325328,1.81240954529,4.69832,1.97653750128,0.0,4.44880675369,0.0,1403
1423689524775334661,1.8513490617,4.7208,1.97039662063,0.0,4.44880348042,0.0,1398
1423689524892020328,1.89028599828,4.73204,1.94874711279,0.78288,4.44880096543,84.0,1395
1423689525008661994,1.92922035521,4.74328,1.9579601026,0.78288,4.44879920858,84.0,1393
1423689525124750994,1.96815213266,4.74328,1.93175583329,0.78288,4.44879820971,84.0,1390
1423689525240974661,2.0070813308,4.74328,1.93919648242,0.78288,3.8323858168,84.0,1387
1423689525357552661,2.03921199903,4.74328,1.986181797,0.0,4.44879834054,0.0,1384
