%time,field.v,field.h,field.vl,field.actual_v,field.u,field.rpm,field.pwm
1423683742983454306,0.442732076208,2.65264,0.260880579369,1.19296,-2.48104550195,128.0,1404
1423683743104455639,0.405353734771,2.6414,0.261267115076,1.2116,-0.163576680679,130.0,1406
1423683743222875640,0.393527766606,2.6414,0.354829318373,1.2116,4.4494431444,130.0,1408
1423683743341395973,0.432561287203,2.63016,0.359686694774,1.2116,3.84264512103,130.0,1410
1423683743458834639,0.464902580727,2.63016,0.432468829398,1.2116,4.44938708716,130.0,1411
1423683743575540973,0.503931372562,2.63016,0.507973688437,1.17432,4.44935751148,126.0,1413
1423683743693507306,0.54295757864,2.6414,0.579215265255,1.17432,4.4493286993,126.0,1415
1423683743814616973,0.581981199135,2.65264,0.70294769711,1.17432,4.44930065047,126.0,1416
1423683743932560306,0.621002234217,2.66388,0.804861932274,1.17432,4.44927336485,126.0,1417
1423683744049396306,0.660020684058,2.68636,0.892520749569,0.0,4.44924684228,126.0,1417
1423683744166378973,0.699036548831,2.6976,0.943632358606,1.08112,4.44922108262,116.0,1418
1423683744284646306,0.738049828707,2.6976,0.862756713473,1.08112,4.4491960857,116.0,1419
1423683744401413306,0.777060523859,2.70884,0.823723818338,1.08112,4.44917185138,116.0,1420
1423683744518500306,0.816068634456,2.73132,0.941238050611,1.08112,4.44914837951,116.0,1421
1423683744636773306,0.855074160673,2.74256,1.02145369982,0.0,4.44912566994,116.0,1419
1423683744755487639,0.894077102679,2.7538,1.04775424894,0.95064,4.44910372251,102.0,1419
1423683744874511973,0.933077460648,2.76504,1.06150657578,0.95064,4.44908253707,102.0,1419
1423683744994969973,0.97207523475,2.78752,1.15397843865,0.95064,4.44906211347,102.0,1419
1423683745120368306,1.01107042516,2.79876,1.16976852844,0.95064,4.44904245157,102.0,1419
1423683745238161639,1.05006303204,2.83248,1.1768941676,0.0,4.4490235512,102.0,1417
1423683745357519639,1.08905305558,2.84372,1.2704535672,0.89472,4.44900541223,96.0,1416
1423683745479601639,1.12804049593,2.8662,1.31379572592,0.89472,4.44898803449,96.0,1416
1423683745597013306,1.16702535328,2.87744,1.37901528045,0.89472,4.44897141783,96.0,1415
1423683745715600639,1.20600762779,2.91116,1.46611287045,0.89472,4.44895556211,96.0,1414
1423683745838119973,1.24498731963,2.93364,1.57336023824,0.0,4.44894046718,96.0,1412
1423683745963585640,1.28396442898,2.94488,1.54038316896,0.0,4.44892613288,96.0,1409
1423683746082152973,1.32293895601,2.96736,1.5351570792,0.78288,4.44891255906,84.0,1408
1423683746203714973,1.3619109009,2.98984,1.5708020678,0.78288,4.44889974557,84.0,1406
1423683746321858640,1.4008802638,3.00108,1.5398921945,0.78288,4.44888769226,84.0,1405
1423683746441080640,1.4398470449,3.01232,1.51275469076,0.78288,4.44887639898,84.0,1404
1423683746557838973,1.47881124436,3.02356,1.52788022758,0.0,4.44886586557,84.0,1400
1423683746675222640,1.51777286236,3.04604,1.58483985193,0.80152,4.4488560919,86.0,1398
1423683746792191306,1.55673189906,3.04604,1.6395057982,0.80152,4.44884707779,86.0,1396
1423683746909518306,1.59568835465,3.05728,1.64487864938,0.80152,4.44883882312,86.0,1395
1423683747027500639,1.63464222929,3.05728,1.68504329836,0.80152,4.44883132772,86.0,1393
1423683747146992639,1.67359352315,3.05728,1.68141208297,0.0,3.4745177921,86.0,1390
1423683747264132640,1.70180048379,3.05728,1.68798757055,1.00656,2.3151963847,108.0,1389
1423683747380262973,1.71722408321,3.04604,1.65348324205,1.00656,-0.283526014061,108.0,1387
1423683747495750973,1.70399571993,3.0348,1.59514855018,1.00656,-2.49762145512,108.0,1385
1423683747616306640,1.6663577616,3.02356,1.54989048516,1.00656,-2.7496823747,108.0,1384
1423683747734486306,1.62594324676,3.01232,1.51154299576,1.23024,-2.50827622357,132.0,1383
1423683747851857306,1.5881928307,2.9786,1.33037115737,1.23024,-6.22834745727,132.0,1382
1423683747977349973,1.50943094846,2.96736,1.29266238796,1.23024,-6.22832968906,132.0,1382
1423683748095125640,1.43067426009,2.94488,1.23420733894,1.43528,-6.09855747002,154.0,1382
1423683748214486640,1.35335327776,2.91116,1.08282555009,1.43528,-6.22828531556,154.0,1382
1423683748334715973,1.27460688177,2.84372,0.994658595958,1.43528,-6.22825830477,154.0,1382
1423683748454054306,1.19586567863,2.79876,0.772130574866,1.56576,-6.22822819556,168.0,1383
1423683748574970306,1.11712966801,2.74256,0.531685447522,1.56576,-6.22819498855,168.0,1384
1423683748696658640,1.03839884956,2.6976,0.349291825602,1.56576,-6.22815868437,168.0,1385
1423683748815787306,0.959673222945,2.66388,0.349723544724,1.6776,-6.22811928361,180.0,1387
1423683748942231306,0.88095278782,2.61892,0.399575530735,1.6776,-6.22807678689,180.0,1389
1423683749061644640,0.802237543846,2.59644,0.472431308293,1.6776,-6.22803119483,180.0,1391
1423683749180852973,0.723527490684,2.56272,0.481776479654,1.65896,-6.22798250804,178.0,1393
1423683749296962973,0.644822627993,2.55148,0.543846000313,1.65896,1.02650140037,178.0,1395
1423683749414047306,0.646103444971,2.529,0.496358490683,1.60304,-1.76686606185,172.0,1398
1423683749535721640,0.616587167379,2.50652,0.424452008442,1.60304,-4.07874642474,172.0,1400
1423683749655164306,0.561584014673,2.4728,0.294309232689,1.60304,-6.22787259342,172.0,1403
1423683749775635640,0.482889831221,2.43908,0.181079889321,1.52848,-6.22781444774,164.0,1405
1423683749895136306,0.404200837201,2.37164,0.109499560558,1.52848,-6.22775320982,164.0,1408
1423683750022526640,0.325517032273,2.34916,0.0,1.52848,-6.22768888026,164.0,1411
1423683750145765973,0.246838416095,2.31544,0.0,1.52848,-6.22762145967,164.0,1414
1423683750266594973,0.168164988329,2.29296,0.0,0.0,-1.61743737109,164.0,1415
1423683750386199640,0.140323554044,2.27048,0.0,0.91336,0.0564410500841,98.0,1416
1423683750502244973,0.130938296115,2.248,0.0,0.91336,0.578191102849,98.0,1418
